id,gid,x,y,v_x,v_y,radius,time
1,0,1.538140,1.608166,1.239247,-0.043578,0.750000,8.200000
2,1,-10.689919,0.330230,-1.238185,0.076868,0.750000,8.200000
0,0,1.610497,-1.358504,1.295932,0.046889,0.750000,8.300000
1,0,1.663184,1.597753,1.250445,-0.104131,0.750000,8.300000
2,1,-10.813735,0.315072,-1.238167,-0.151576,0.750000,8.300000
0,0,1.731598,-1.364718,1.211007,-0.062140,0.750000,8.400000
1,0,1.773222,1.581675,1.100379,-0.160773,0.750000,8.400000
2,1,-10.929637,0.311730,-1.159012,-0.033425,0.750000,8.400000
0,0,1.863851,-1.360202,1.322534,0.045166,0.750000,8.500000
1,0,1.898773,1.578209,1.255506,-0.034662,0.750000,8.500000
2,1,-11.034782,0.303735,-1.051458,-0.079946,0.750000,8.500000
0,0,1.983307,-1.365998,1.194553,-0.057964,0.750000,8.600000
1,0,2.046395,1.581815,1.476225,0.036056,0.750000,8.600000
2,1,-11.168259,0.290179,-1.334767,-0.135562,0.750000,8.600000
0,0,2.117654,-1.343858,1.343469,0.221397,0.750000,8.700000
1,0,2.192455,1.580035,1.460594,-0.017793,0.750000,8.700000
2,1,-11.306551,0.281361,-1.382918,-0.088186,0.750000,8.700000
0,0,2.227141,-1.337773,1.094877,0.060849,0.750000,8.800000
1,0,2.339281,1.583704,1.468257,0.036689,0.750000,8.800000
2,1,-11.449902,0.264634,-1.433511,-0.167269,0.750000,8.800000
0,0,2.348455,-1.333358,1.213132,0.044153,0.750000,8.900000
1,0,2.467032,1.564729,1.277519,-0.189750,0.750000,8.900000
2,1,-11.585223,0.265818,-1.353215,0.011842,0.750000,8.900000
0,0,2.466989,-1.344036,1.185346,-0.106780,0.750000,9.000000
1,0,2.597412,1.571093,1.303794,0.063642,0.750000,9.000000
2,1,-11.729995,0.272503,-1.447711,0.066848,0.750000,9.000000
0,0,2.591097,-1.355650,1.241084,-0.116139,0.750000,9.100000
1,0,2.716798,1.558569,1.193860,-0.125240,0.750000,9.100000
2,1,-11.861816,0.278002,-1.318215,0.054992,0.750000,9.100000
0,0,2.720603,-1.373107,1.295051,-0.174568,0.750000,9.200000
1,0,2.837037,1.550252,1.202394,-0.083179,0.750000,9.200000
2,1,-11.988700,0.276261,-1.268844,-0.017409,0.750000,9.200000
0,0,2.877116,-1.383757,1.565137,-0.106506,0.750000,9.300000
1,0,2.965513,1.534994,1.284758,-0.152576,0.750000,9.300000
2,1,-12.112564,0.257197,-1.238636,-0.190637,0.750000,9.300000
0,0,3.025708,-1.372515,1.485919,0.112426,0.750000,9.400000
1,0,3.109447,1.508411,1.439344,-0.265835,0.750000,9.400000
2,1,-12.241561,0.250427,-1.289966,-0.067698,0.750000,9.400000
0,0,3.142067,-1.368652,1.163589,0.038626,0.750000,9.500000
1,0,3.225287,1.478092,1.158399,-0.303187,0.750000,9.500000
2,1,-12.372451,0.230351,-1.308904,-0.200759,0.750000,9.500000
0,0,3.267809,-1.389333,1.257417,-0.206808,0.750000,9.600000
1,0,3.336169,1.483693,1.108815,0.056013,0.750000,9.600000
2,1,-12.489728,0.225817,-1.172767,-0.045342,0.750000,9.600000
0,0,3.386545,-1.385210,1.187361,0.041233,0.750000,9.700000
1,0,3.465453,1.486831,1.292839,0.031383,0.750000,9.700000
2,1,-12.621385,0.208678,-1.316573,-0.171392,0.750000,9.700000
0,0,3.508094,-1.383319,1.215487,0.018911,0.750000,9.800000
1,0,3.615705,1.495443,1.502521,0.086117,0.750000,9.800000
2,1,-12.758507,0.180204,-1.371217,-0.284737,0.750000,9.800000
0,0,3.633728,-1.399820,1.256347,-0.165017,0.750000,9.900000
1,0,3.748946,1.491822,1.332414,-0.036213,0.750000,9.900000
2,1,-12.876089,0.158604,-1.175825,-0.216000,0.750000,9.900000
0,0,3.751028,-1.412903,1.172996,-0.130832,0.750000,10.000000
1,0,3.880302,1.484552,1.313557,-0.072700,0.750000,10.000000
2,1,-12.990720,0.140224,-1.146312,-0.183807,0.750000,10.000000
0,0,3.877541,-1.407738,1.265127,0.051652,0.750000,10.100000
1,0,4.035402,1.482330,1.550997,-0.022219,0.750000,10.100000
2,1,-13.114125,0.123217,-1.234049,-0.170067,0.750000,10.100000
0,0,4.024608,-1.424543,1.470679,-0.168049,0.750000,10.200000
1,0,4.203747,1.466113,1.683453,-0.162167,0.750000,10.200000
2,1,-13.244415,0.111021,-1.302901,-0.121964,0.750000,10.200000
0,0,4.149831,-1.439569,1.252227,-0.150259,0.750000,10.300000
1,0,4.349420,1.458588,1.456731,-0.075255,0.750000,10.300000
2,1,-13.382355,0.092493,-1.379395,-0.185281,0.750000,10.300000
0,0,4.271580,-1.443096,1.217491,-0.035274,0.750000,10.400000
1,0,4.495588,1.440832,1.461682,-0.177552,0.750000,10.400000
2,1,-13.502333,0.078505,-1.199778,-0.139873,0.750000,10.400000
0,0,4.402666,-1.437935,1.310856,0.051615,0.750000,10.500000
1,0,4.642208,1.425437,1.466196,-0.153953,0.750000,10.500000
2,1,-13.612568,0.059975,-1.102354,-0.185301,0.750000,10.500000
0,0,4.526459,-1.442381,1.237929,-0.044464,0.750000,10.600000
1,0,4.786781,1.412886,1.445727,-0.125509,0.750000,10.600000
2,1,-13.722592,0.041393,-1.100236,-0.185825,0.750000,10.600000
0,0,4.648033,-1.427403,1.215740,0.149786,0.750000,10.700000
1,0,4.937172,1.407917,1.503918,-0.049695,0.750000,10.700000
2,1,-13.829284,0.031701,-1.066926,-0.096918,0.750000,10.700000
0,0,4.781242,-1.411363,1.332095,0.160402,0.750000,10.800000
1,0,5.086327,1.395778,1.491549,-0.121386,0.750000,10.800000
2,1,-13.932757,0.024605,-1.034727,-0.070959,0.750000,10.800000
0,0,4.918593,-1.419628,1.373509,-0.082656,0.750000,10.900000
1,0,5.244950,1.397751,1.586224,0.019726,0.750000,10.900000
2,1,-14.050923,0.026505,-1.181656,0.019000,0.750000,10.900000
0,0,5.060819,-1.422251,1.422259,-0.026226,0.750000,11.000000
1,0,5.378847,1.389091,1.338977,-0.086596,0.750000,11.000000
2,1,-14.151174,0.015664,-1.002513,-0.108408,0.750000,11.000000
0,0,5.186656,-1.438359,1.258367,-0.161086,0.750000,11.100000
1,0,5.500306,1.366464,1.214589,-0.226272,0.750000,11.100000
2,1,-14.261161,0.014760,-1.099873,-0.009045,0.750000,11.100000
0,0,5.309084,-1.457665,1.224283,-0.193057,0.750000,11.200000
1,0,5.628656,1.351799,1.283494,-0.146649,0.750000,11.200000
2,1,-14.377720,-0.009900,-1.165585,-0.246601,0.750000,11.200000
0,0,5.439151,-1.478222,1.300672,-0.205575,0.750000,11.300000
1,0,5.743886,1.327440,1.152299,-0.243588,0.750000,11.300000
2,1,-14.501196,-0.014445,-1.234768,-0.045451,0.750000,11.300000
0,0,5.568054,-1.496696,1.289026,-0.184732,0.750000,11.400000
1,0,5.860115,1.302457,1.162299,-0.249830,0.750000,11.400000
2,1,-14.636595,-0.010733,-1.353985,0.037120,0.750000,11.400000
0,0,5.671748,-1.500161,1.036941,-0.034651,0.750000,11.500000
1,0,5.986288,1.293711,1.261725,-0.087460,0.750000,11.500000
2,1,-14.765911,-0.000199,-1.293162,0.105342,0.750000,11.500000
0,0,5.784372,-1.487247,1.126236,0.129141,0.750000,11.600000
1,0,6.111003,1.282634,1.247148,-0.110777,0.750000,11.600000
2,1,-14.888429,-0.010492,-1.225176,-0.102928,0.750000,11.600000
0,0,5.897003,-1.481754,1.126319,0.054927,0.750000,11.700000
1,0,6.232551,1.281960,1.215480,-0.006741,0.750000,11.700000
2,1,-14.994590,-0.026501,-1.061607,-0.160091,0.750000,11.700000
0,0,6.015285,-1.487969,1.182811,-0.062149,0.750000,11.800000
1,0,6.362170,1.293121,1.296191,0.111615,0.750000,11.800000
0,0,6.136050,-1.493783,1.207650,-0.058137,0.750000,11.900000
1,0,6.488829,1.276633,1.266588,-0.164880,0.750000,11.900000
0,0,6.249119,-1.491409,1.130692,0.023740,0.750000,12.000000
1,0,6.590720,1.256706,1.018910,-0.199275,0.750000,12.000000
0,0,6.332623,-1.487050,0.835041,0.043584,0.750000,12.100000
1,0,6.715437,1.246924,1.247170,-0.097818,0.750000,12.100000
0,0,6.435843,-1.477436,1.032201,0.096146,0.750000,12.200000
1,0,6.847888,1.245442,1.324515,-0.014816,0.750000,12.200000
0,0,6.552282,-1.452806,1.164390,0.246299,0.750000,12.300000
1,0,6.966459,1.254467,1.185709,0.090251,0.750000,12.300000
0,0,6.666694,-1.436888,1.144123,0.159178,0.750000,12.400000
1,0,7.113767,1.263334,1.473080,0.088670,0.750000,12.400000
0,0,6.804931,-1.413134,1.382369,0.237539,0.750000,12.500000
1,0,7.237189,1.262552,1.234217,-0.007826,0.750000,12.500000
